age,workclass,fnlwgt,education.num,marital.status,occupation,relationship,race,sex,capital.gain,capital.loss,hours.per.week,native.country
26,1,256263,0,3,6,0,0,1,0,0,25,0
24,1,170277,0,3,4,0,0,0,0,0,35,0
36,1,75826,6,1,5,1,0,0,0,0,40,0
22,2,24395,1,4,5,5,0,0,0,0,20,0
31,6,356689,6,4,3,4,0,1,0,0,40,0
43,5,196945,0,4,4,4,2,1,0,0,78,40
20,1,174714,1,3,3,2,0,1,0,0,15,0
55,1,189719,6,4,1,4,0,1,0,0,45,0
19,1,148644,0,3,5,2,0,0,0,0,40,0
55,1,286230,8,1,9,2,0,0,0,0,20,0
46,3,80057,0,4,5,4,0,1,0,0,40,17
51,1,103824,0,3,4,0,1,1,0,0,40,28
35,1,187119,6,1,9,0,0,0,0,1980,65,0
65,4,111483,1,4,1,4,0,1,0,2174,10,0
31,4,119411,6,1,1,1,0,1,0,0,60,0
68,1,67791,1,0,9,0,0,1,0,0,40,0
25,1,272428,0,3,9,0,0,1,4416,0,42,0
38,1,198216,1,1,1,1,0,0,0,0,40,0
43,1,188905,12,2,2,0,0,0,0,0,40,2
31,1,258849,10,3,5,1,1,0,0,0,40,0
56,3,130454,6,4,3,4,0,1,0,0,40,0
39,1,258037,7,3,5,0,0,1,0,0,40,1
29,1,327964,14,1,2,1,1,0,0,0,40,0
39,1,110713,6,4,9,4,0,1,0,0,50,0
53,1,123011,7,4,1,4,0,1,0,0,45,0
27,1,149624,1,4,5,4,0,1,0,0,30,0
25,1,124111,1,3,5,2,0,0,0,0,40,0
24,1,33616,0,3,4,1,0,0,0,0,35,0
42,1,154374,6,4,1,4,0,1,0,2415,60,0
41,1,264663,1,2,3,2,0,0,0,3900,40,0
90,1,87285,0,3,4,2,0,0,0,0,24,0
43,2,308498,0,5,1,1,0,0,0,0,40,0
22,1,347867,0,5,9,0,0,1,0,1719,40,0
22,1,130724,1,3,9,2,1,1,0,0,25,0
24,1,52242,0,4,9,5,0,0,0,0,40,0
36,1,175360,7,3,5,0,0,1,13550,0,50,0
34,1,255693,0,4,5,5,0,0,0,0,20,0
34,1,185063,1,4,2,4,0,1,0,0,45,0
62,1,134768,4,4,3,4,0,1,7688,0,40,1
21,1,213041,0,3,5,2,0,0,0,0,40,22
39,1,77146,6,4,1,4,0,1,0,1887,50,0
50,1,104729,0,1,2,3,0,0,0,0,48,0
29,1,140830,0,3,4,2,0,0,0,0,40,0
18,2,59342,8,3,5,2,0,0,0,0,5,0
31,1,58582,1,3,6,0,0,1,0,0,46,0
38,1,391040,10,2,11,1,0,0,0,0,20,0
62,1,135480,0,4,9,4,0,1,0,0,16,0
49,3,168232,0,4,5,4,0,1,0,0,40,0
60,5,160062,0,4,10,4,0,1,0,0,25,0
25,1,236242,5,3,3,0,0,0,0,0,30,0
18,0,51574,0,3,0,2,2,0,0,1602,38,0
43,1,112763,0,3,5,1,0,0,8614,0,43,0
47,1,102308,7,4,1,4,0,1,99999,0,50,0
46,1,247043,0,4,7,4,0,1,0,0,40,0
26,1,322547,6,3,3,0,0,0,0,0,45,0
51,1,230858,1,4,6,4,0,1,0,1977,60,0
39,1,190719,1,1,9,0,0,1,0,0,45,0
40,6,96554,0,3,5,2,0,0,0,0,40,0
54,1,87205,0,0,4,0,0,0,0,0,15,0
48,1,175221,0,4,2,4,0,1,0,0,40,0
24,1,254293,6,3,1,0,0,1,2174,0,45,0
36,1,358373,0,2,2,0,1,0,0,0,36,0
20,1,151790,1,3,5,2,0,0,0,0,30,0
24,1,304386,0,3,4,2,0,0,0,0,30,0
25,1,190650,6,3,3,2,2,1,0,0,40,6
34,6,105540,6,4,3,4,0,1,0,2051,40,0
25,1,186370,0,4,8,4,0,1,0,0,40,0
